merchant_id,merchant_category,merchant_risk_score,channel_default
M101517,Digital Wallet,0.612,Card Not Present
M101518,Gaming,0.171,Wire
M101519,Grocery,0.353,Card Present
M101520,Luxury,0.292,Wire
M101521,Marketplace,0.247,Card Present
M101522,Marketplace,0.316,Online Banking
M101523,Luxury,0.359,Wire
M101524,Luxury,0.136,Card Present
M101525,Digital Wallet,0.308,Online Banking
M101526,Travel,0.213,Online Banking
M101527,Marketplace,0.187,Online Banking
M101528,Gaming,0.323,P2P
M101529,Telecom,0.072,Wire
M101530,Travel,0.618,Card Present
M101531,Telecom,0.281,P2P
M101532,Telecom,0.39,P2P
M101533,Electronics,0.377,Card Present
M101534,Travel,0.158,Card Not Present
M101535,Electronics,0.177,Card Present
M101536,Gaming,0.174,Online Banking
M101537,Gaming,0.19,Online Banking
M101538,Travel,0.425,P2P
M101539,Gaming,0.097,Online Banking
M101540,Utilities,0.554,Card Not Present
M101541,Digital Wallet,0.162,P2P
M101542,Travel,0.449,Card Not Present
M101543,Electronics,0.315,Online Banking
M101544,Telecom,0.079,Online Banking
M101545,Fuel,0.442,P2P
M101546,Marketplace,0.365,Card Not Present
M101547,Electronics,0.148,Card Present
M101548,Digital Wallet,0.519,Wire
M101549,Telecom,0.319,Wire
M101550,Gaming,0.092,Card Present
M101551,Fuel,0.203,Wire
M101552,Telecom,0.071,Online Banking
M101553,Travel,0.578,Card Not Present
M101554,Gaming,0.302,P2P
M101555,Luxury,0.109,P2P
M101556,Telecom,0.021,Card Present
M101557,Electronics,0.209,Wire
M101558,Luxury,0.637,Online Banking
M101559,Fuel,0.218,Card Not Present
M101560,Gaming,0.101,P2P
M101561,Luxury,0.191,P2P
M101562,Electronics,0.136,Online Banking
M101563,Digital Wallet,0.117,Wire
M101564,Fuel,0.19,Online Banking
M101565,Luxury,0.304,P2P
M101566,Grocery,0.137,Card Present
M101567,Gaming,0.388,Card Present
M101568,Gaming,0.083,P2P
M101569,Grocery,0.058,Card Present
M101570,Gaming,0.069,Online Banking
M101571,Digital Wallet,0.228,Card Present
M101572,Fuel,0.398,Card Present
M101573,Electronics,0.012,Wire
M101574,Gaming,0.487,Card Present
M101575,Fuel,0.188,Card Present
M101576,Travel,0.427,Card Not Present
M101577,Telecom,0.475,P2P
M101578,Telecom,0.561,P2P
M101579,Telecom,0.374,P2P
M101580,Luxury,0.261,Wire
M101581,Fuel,0.479,Online Banking
M101582,Fuel,0.23,P2P
M101583,Grocery,0.44,Online Banking
M101584,Gaming,0.074,Card Not Present
M101585,Grocery,0.364,Wire
M101586,Fuel,0.122,Online Banking
M101587,Fuel,0.075,Card Present
M101588,Grocery,0.271,Card Present
M101589,Utilities,0.07,Card Not Present
M101590,Grocery,0.299,P2P
M101591,Electronics,0.148,P2P
M101592,Telecom,0.176,P2P
M101593,Gaming,0.377,Card Present
M101594,Digital Wallet,0.163,Wire
M101595,Marketplace,0.583,P2P
M101596,Marketplace,0.263,Card Not Present
M101597,Utilities,0.175,Wire
M101598,Gaming,0.024,P2P
M101599,Utilities,0.216,Card Present
M101600,Digital Wallet,0.135,Online Banking
M101601,Grocery,0.183,P2P
M101602,Luxury,0.155,Online Banking
M101603,Gaming,0.295,Card Present
M101604,Utilities,0.111,Card Not Present
M101605,Gaming,0.249,Card Not Present
M101606,Marketplace,0.12,Wire
M101607,Electronics,0.02,Card Present
M101608,Travel,0.309,Online Banking
M101609,Digital Wallet,0.478,Card Not Present
M101610,Travel,0.07,Card Present
M101611,Grocery,0.567,Online Banking
M101612,Electronics,0.475,Card Not Present
M101613,Electronics,0.121,P2P
M101614,Gaming,0.232,P2P
M101615,Luxury,0.206,Card Present
M101616,Electronics,0.443,Card Not Present
M101617,Luxury,0.077,Online Banking
M101618,Electronics,0.286,Card Not Present
M101619,Electronics,0.075,Card Present
M101620,Electronics,0.528,Card Not Present
M101621,Marketplace,0.247,Card Not Present
M101622,Travel,0.37,Card Present
M101623,Fuel,0.121,Wire
M101624,Utilities,0.234,Online Banking
M101625,Luxury,0.054,Card Present
M101626,Electronics,0.259,Card Present
M101627,Travel,0.458,Wire
M101628,Utilities,0.269,Wire
M101629,Grocery,0.193,P2P
M101630,Luxury,0.073,Card Not Present
M101631,Luxury,0.097,Card Present
M101632,Luxury,0.068,Wire
M101633,Utilities,0.121,P2P
M101634,Electronics,0.117,P2P
M101635,Digital Wallet,0.068,Wire
M101636,Luxury,0.632,P2P
M101637,Marketplace,0.063,Online Banking
M101638,Grocery,0.45,Card Present
M101639,Telecom,0.162,Card Present
M101640,Luxury,0.067,Online Banking
M101641,Utilities,0.08,P2P
M101642,Gaming,0.134,Card Not Present
M101643,Utilities,0.147,Card Not Present
M101644,Luxury,0.201,P2P
M101645,Marketplace,0.213,Card Present
M101646,Grocery,0.168,Card Not Present
M101647,Fuel,0.354,Card Present
M101648,Gaming,0.033,Wire
M101649,Electronics,0.053,Card Present
M101650,Telecom,0.198,P2P
M101651,Telecom,0.319,Online Banking
M101652,Gaming,0.686,Card Not Present
M101653,Utilities,0.376,Online Banking
M101654,Travel,0.181,Card Present
M101655,Fuel,0.427,Card Present
M101656,Telecom,0.378,Card Not Present
M101657,Electronics,0.292,Card Present
M101658,Utilities,0.114,Card Present
M101659,Gaming,0.513,Online Banking
M101660,Digital Wallet,0.313,Card Not Present
M101661,Utilities,0.08,Online Banking
M101662,Fuel,0.213,Online Banking
M101663,Fuel,0.225,Wire
M101664,Utilities,0.08,Card Present
M101665,Grocery,0.366,Card Present
M101666,Utilities,0.244,Card Present
M101667,Telecom,0.332,Wire
M101668,Electronics,0.291,Wire
M101669,Electronics,0.299,Card Present
M101670,Fuel,0.165,Card Present
M101671,Utilities,0.397,Card Not Present
M101672,Luxury,0.241,P2P
M101673,Travel,0.625,Card Present
M101674,Grocery,0.329,P2P
M101675,Grocery,0.071,P2P
M101676,Grocery,0.176,Wire
M101677,Digital Wallet,0.508,Card Not Present
M101678,Grocery,0.191,Wire
M101679,Telecom,0.138,Wire
M101680,Luxury,0.078,Wire
M101681,Marketplace,0.078,Wire
M101682,Gaming,0.159,P2P
M101683,Fuel,0.474,Card Not Present
M101684,Grocery,0.286,Online Banking
M101685,Utilities,0.355,Wire
M101686,Grocery,0.183,Wire
M101687,Utilities,0.221,Card Not Present
M101688,Gaming,0.451,Wire
M101689,Grocery,0.266,Wire
M101690,Gaming,0.046,Online Banking
M101691,Luxury,0.521,Wire
M101692,Digital Wallet,0.66,Card Not Present
M101693,Luxury,0.143,Card Not Present
M101694,Grocery,0.313,Online Banking
M101695,Grocery,0.094,P2P
M101696,Marketplace,0.502,Wire
M101697,Utilities,0.721,Online Banking
M101698,Gaming,0.1,Wire
M101699,Digital Wallet,0.25,Card Present
M101700,Electronics,0.337,Wire
M101701,Grocery,0.088,Online Banking
M101702,Fuel,0.077,Card Not Present
M101703,Grocery,0.091,Online Banking
M101704,Fuel,0.461,P2P
M101705,Grocery,0.16,Card Present
M101706,Electronics,0.251,Online Banking
M101707,Fuel,0.113,P2P
M101708,Electronics,0.269,Card Present
M101709,Grocery,0.415,Online Banking
M101710,Fuel,0.309,Wire
M101711,Digital Wallet,0.072,Card Not Present
M101712,Utilities,0.483,Card Not Present
M101713,Gaming,0.191,Online Banking
M101714,Utilities,0.053,Card Not Present
M101715,Telecom,0.131,P2P
M101716,Gaming,0.282,P2P
M101717,Luxury,0.135,Card Not Present
M101718,Telecom,0.561,Online Banking
M101719,Luxury,0.673,P2P
M101720,Travel,0.058,Card Present
M101721,Electronics,0.229,Wire
M101722,Fuel,0.341,Online Banking
M101723,Electronics,0.39,Card Present
M101724,Gaming,0.413,P2P
M101725,Luxury,0.609,Card Not Present
M101726,Utilities,0.155,Card Present
M101727,Digital Wallet,0.363,P2P
M101728,Electronics,0.264,Card Present
M101729,Fuel,0.06,Card Not Present
M101730,Electronics,0.469,Wire
M101731,Marketplace,0.145,Card Present
M101732,Luxury,0.604,Card Not Present
M101733,Electronics,0.052,P2P
M101734,Digital Wallet,0.291,Card Not Present
M101735,Telecom,0.24,Wire
M101736,Grocery,0.163,Wire
M101737,Digital Wallet,0.612,Card Not Present
M101738,Gaming,0.171,Wire
M101739,Grocery,0.353,Card Present
M101740,Luxury,0.292,Wire
M101741,Marketplace,0.247,Card Present
M101742,Marketplace,0.316,Online Banking
M101743,Luxury,0.359,Wire
M101744,Luxury,0.136,Card Present
M101745,Digital Wallet,0.308,Online Banking
M101746,Travel,0.213,Online Banking
M101747,Marketplace,0.187,Online Banking
M101748,Gaming,0.323,P2P
M101749,Telecom,0.072,Wire
M101750,Travel,0.618,Card Present
M101751,Telecom,0.281,P2P
M101752,Telecom,0.39,P2P
M101753,Electronics,0.377,Card Present
M101754,Travel,0.158,Card Not Present
M101755,Electronics,0.177,Card Present
M101756,Gaming,0.174,Online Banking
M101757,Gaming,0.19,Online Banking
M101758,Travel,0.425,P2P
M101759,Gaming,0.097,Online Banking
M101760,Utilities,0.554,Card Not Present
M101761,Digital Wallet,0.162,P2P
M101762,Travel,0.449,Card Not Present
M101763,Electronics,0.315,Online Banking
M101764,Telecom,0.079,Online Banking
M101765,Fuel,0.442,P2P
M101766,Marketplace,0.365,Card Not Present
M101767,Electronics,0.148,Card Present
M101768,Digital Wallet,0.519,Wire
M101769,Telecom,0.319,Wire
M101770,Gaming,0.092,Card Present
M101771,Fuel,0.203,Wire
M101772,Telecom,0.071,Online Banking
M101773,Travel,0.578,Card Not Present
M101774,Gaming,0.302,P2P
M101775,Luxury,0.109,P2P
M101776,Telecom,0.021,Card Present
M101777,Electronics,0.209,Wire
M101778,Luxury,0.637,Online Banking
M101779,Fuel,0.218,Card Not Present
M101780,Gaming,0.101,P2P
M101781,Luxury,0.191,P2P
M101782,Electronics,0.136,Online Banking
M101783,Digital Wallet,0.117,Wire
M101784,Fuel,0.19,Online Banking
M101785,Luxury,0.304,P2P
M101786,Grocery,0.137,Card Present
M101787,Gaming,0.388,Card Present
M101788,Gaming,0.083,P2P
M101789,Grocery,0.058,Card Present
M101790,Gaming,0.069,Online Banking
M101791,Digital Wallet,0.228,Card Present
M101792,Fuel,0.398,Card Present
M101793,Electronics,0.012,Wire
M101794,Gaming,0.487,Card Present
M101795,Fuel,0.188,Card Present
M101796,Travel,0.427,Card Not Present
M101797,Telecom,0.475,P2P
M101798,Telecom,0.561,P2P
M101799,Telecom,0.374,P2P
M101800,Luxury,0.261,Wire
M101801,Fuel,0.479,Online Banking
M101802,Fuel,0.23,P2P
M101803,Grocery,0.44,Online Banking
M101804,Gaming,0.074,Card Not Present
M101805,Grocery,0.364,Wire
M101806,Fuel,0.122,Online Banking
M101807,Fuel,0.075,Card Present
M101808,Grocery,0.271,Card Present
M101809,Utilities,0.07,Card Not Present
M101810,Grocery,0.299,P2P
M101811,Electronics,0.148,P2P
M101812,Telecom,0.176,P2P
M101813,Gaming,0.377,Card Present
M101814,Digital Wallet,0.163,Wire
M101815,Marketplace,0.583,P2P
M101816,Marketplace,0.263,Card Not Present
M101817,Utilities,0.175,Wire
M101818,Gaming,0.024,P2P
M101819,Utilities,0.216,Card Present
M101820,Digital Wallet,0.135,Online Banking
M101821,Grocery,0.183,P2P
M101822,Luxury,0.155,Online Banking
M101823,Gaming,0.295,Card Present
M101824,Utilities,0.111,Card Not Present
M101825,Gaming,0.249,Card Not Present
M101826,Marketplace,0.12,Wire
M101827,Electronics,0.02,Card Present
M101828,Travel,0.309,Online Banking
M101829,Digital Wallet,0.478,Card Not Present
M101830,Travel,0.07,Card Present
M101831,Grocery,0.567,Online Banking
M101832,Electronics,0.475,Card Not Present
M101833,Electronics,0.121,P2P
M101834,Gaming,0.232,P2P
M101835,Luxury,0.206,Card Present
M101836,Electronics,0.443,Card Not Present
M101837,Luxury,0.077,Online Banking
M101838,Electronics,0.286,Card Not Present
M101839,Electronics,0.075,Card Present
M101840,Electronics,0.528,Card Not Present
M101841,Marketplace,0.247,Card Not Present
M101842,Travel,0.37,Card Present
M101843,Fuel,0.121,Wire
M101844,Utilities,0.234,Online Banking
M101845,Luxury,0.054,Card Present
M101846,Electronics,0.259,Card Present
M101847,Travel,0.458,Wire
M101848,Utilities,0.269,Wire
M101849,Grocery,0.193,P2P
M101850,Luxury,0.073,Card Not Present
M101851,Luxury,0.097,Card Present
M101852,Luxury,0.068,Wire
M101853,Utilities,0.121,P2P
M101854,Electronics,0.117,P2P
M101855,Digital Wallet,0.068,Wire
M101856,Luxury,0.632,P2P
M101857,Marketplace,0.063,Online Banking
M101858,Grocery,0.45,Card Present
M101859,Telecom,0.162,Card Present
M101860,Luxury,0.067,Online Banking
M101861,Utilities,0.08,P2P
M101862,Gaming,0.134,Card Not Present
M101863,Utilities,0.147,Card Not Present
M101864,Luxury,0.201,P2P
M101865,Marketplace,0.213,Card Present
M101866,Grocery,0.168,Card Not Present
M101867,Fuel,0.354,Card Present
M101868,Gaming,0.033,Wire
M101869,Electronics,0.053,Card Present
M101870,Telecom,0.198,P2P
M101871,Telecom,0.319,Online Banking
M101872,Gaming,0.686,Card Not Present
M101873,Utilities,0.376,Online Banking
M101874,Travel,0.181,Card Present
M101875,Fuel,0.427,Card Present
M101876,Telecom,0.378,Card Not Present
M101877,Electronics,0.292,Card Present
M101878,Utilities,0.114,Card Present
M101879,Gaming,0.513,Online Banking
M101880,Digital Wallet,0.313,Card Not Present
M101881,Utilities,0.08,Online Banking
M101882,Fuel,0.213,Online Banking
M101883,Fuel,0.225,Wire
M101884,Utilities,0.08,Card Present
M101885,Grocery,0.366,Card Present
M101886,Utilities,0.244,Card Present
M101887,Telecom,0.332,Wire
M101888,Electronics,0.291,Wire
M101889,Electronics,0.299,Card Present
M101890,Fuel,0.165,Card Present
M101891,Utilities,0.397,Card Not Present
M101892,Luxury,0.241,P2P
M101893,Travel,0.625,Card Present
M101894,Grocery,0.329,P2P
M101895,Grocery,0.071,P2P
M101896,Grocery,0.176,Wire
M101897,Digital Wallet,0.508,Card Not Present
M101898,Grocery,0.191,Wire
M101899,Telecom,0.138,Wire
M101900,Luxury,0.078,Wire
M101901,Marketplace,0.078,Wire
M101902,Gaming,0.159,P2P
M101903,Fuel,0.474,Card Not Present
M101904,Grocery,0.286,Online Banking
M101905,Utilities,0.355,Wire
M101906,Grocery,0.183,Wire
M101907,Utilities,0.221,Card Not Present
M101908,Gaming,0.451,Wire
M101909,Grocery,0.266,Wire
M101910,Gaming,0.046,Online Banking
M101911,Luxury,0.521,Wire
M101912,Digital Wallet,0.66,Card Not Present
M101913,Luxury,0.143,Card Not Present
M101914,Grocery,0.313,Online Banking
M101915,Grocery,0.094,P2P
M101916,Marketplace,0.502,Wire
M101917,Utilities,0.721,Online Banking
M101918,Gaming,0.1,Wire
M101919,Digital Wallet,0.25,Card Present
M101920,Electronics,0.337,Wire
M101921,Grocery,0.088,Online Banking
M101922,Fuel,0.077,Card Not Present
M101923,Grocery,0.091,Online Banking
M101924,Fuel,0.461,P2P
M101925,Grocery,0.16,Card Present
M101926,Electronics,0.251,Online Banking
M101927,Fuel,0.113,P2P
M101928,Electronics,0.269,Card Present
M101929,Grocery,0.415,Online Banking
M101930,Fuel,0.309,Wire
M101931,Digital Wallet,0.072,Card Not Present
M101932,Utilities,0.483,Card Not Present
M101933,Gaming,0.191,Online Banking
M101934,Utilities,0.053,Card Not Present
M101935,Telecom,0.131,P2P
M101936,Gaming,0.282,P2P
M101937,Luxury,0.135,Card Not Present
M101938,Telecom,0.561,Online Banking
M101939,Luxury,0.673,P2P
M101940,Travel,0.058,Card Present
M101941,Electronics,0.229,Wire
M101942,Fuel,0.341,Online Banking
M101943,Electronics,0.39,Card Present
M101944,Gaming,0.413,P2P
M101945,Luxury,0.609,Card Not Present
M101946,Utilities,0.155,Card Present
M101947,Digital Wallet,0.363,P2P
M101948,Electronics,0.264,Card Present
M101949,Fuel,0.06,Card Not Present
M101950,Electronics,0.469,Wire
M101951,Marketplace,0.145,Card Present
M101952,Luxury,0.604,Card Not Present
M101953,Electronics,0.052,P2P
M101954,Digital Wallet,0.291,Card Not Present
M101955,Telecom,0.24,Wire
M101956,Grocery,0.163,Wire
M101957,Digital Wallet,0.612,Card Not Present
M101958,Gaming,0.171,Wire
M101959,Grocery,0.353,Card Present
M101960,Luxury,0.292,Wire
M101961,Marketplace,0.247,Card Present
M101962,Marketplace,0.316,Online Banking
M101963,Luxury,0.359,Wire
M101964,Luxury,0.136,Card Present
M101965,Digital Wallet,0.308,Online Banking
M101966,Travel,0.213,Online Banking
M101967,Marketplace,0.187,Online Banking
M101968,Gaming,0.323,P2P
M101969,Telecom,0.072,Wire
M101970,Travel,0.618,Card Present
M101971,Telecom,0.281,P2P
M101972,Telecom,0.39,P2P
M101973,Electronics,0.377,Card Present
M101974,Travel,0.158,Card Not Present
M101975,Electronics,0.177,Card Present
M101976,Gaming,0.174,Online Banking
M101977,Gaming,0.19,Online Banking
M101978,Travel,0.425,P2P
M101979,Gaming,0.097,Online Banking
M101980,Utilities,0.554,Card Not Present
M101981,Digital Wallet,0.162,P2P
M101982,Travel,0.449,Card Not Present
M101983,Electronics,0.315,Online Banking
M101984,Telecom,0.079,Online Banking
M101985,Fuel,0.442,P2P
M101986,Marketplace,0.365,Card Not Present
M101987,Electronics,0.148,Card Present
M101988,Digital Wallet,0.519,Wire
M101989,Telecom,0.319,Wire
M101990,Gaming,0.092,Card Present
M101991,Fuel,0.203,Wire
M101992,Telecom,0.071,Online Banking
M101993,Travel,0.578,Card Not Present
M101994,Gaming,0.302,P2P
M101995,Luxury,0.109,P2P
M101996,Telecom,0.021,Card Present
M101997,Electronics,0.209,Wire
M101998,Luxury,0.637,Online Banking
M101999,Fuel,0.218,Card Not Present
M102000,Gaming,0.101,P2P
M102001,Luxury,0.191,P2P
M102002,Electronics,0.136,Online Banking
M102003,Digital Wallet,0.117,Wire
M102004,Fuel,0.19,Online Banking
M102005,Luxury,0.304,P2P
M102006,Grocery,0.137,Card Present
M102007,Gaming,0.388,Card Present
M102008,Gaming,0.083,P2P
M102009,Grocery,0.058,Card Present
M102010,Gaming,0.069,Online Banking
M102011,Digital Wallet,0.228,Card Present
M102012,Fuel,0.398,Card Present
M102013,Electronics,0.012,Wire
M102014,Gaming,0.487,Card Present
M102015,Fuel,0.188,Card Present
M102016,Travel,0.427,Card Not Present
M102017,Telecom,0.475,P2P
M102018,Telecom,0.561,P2P
M102019,Telecom,0.374,P2P
M102020,Luxury,0.261,Wire
M102021,Fuel,0.479,Online Banking
M102022,Fuel,0.23,P2P
M102023,Grocery,0.44,Online Banking
M102024,Gaming,0.074,Card Not Present
M102025,Grocery,0.364,Wire
M102026,Fuel,0.122,Online Banking
M102027,Fuel,0.075,Card Present
M102028,Grocery,0.271,Card Present
M102029,Utilities,0.07,Card Not Present
M102030,Grocery,0.299,P2P
M102031,Electronics,0.148,P2P
M102032,Telecom,0.176,P2P
M102033,Gaming,0.377,Card Present
M102034,Digital Wallet,0.163,Wire
M102035,Marketplace,0.583,P2P
M102036,Marketplace,0.263,Card Not Present
M102037,Utilities,0.175,Wire
M102038,Gaming,0.024,P2P
M102039,Utilities,0.216,Card Present
M102040,Digital Wallet,0.135,Online Banking
M102041,Grocery,0.183,P2P
M102042,Luxury,0.155,Online Banking
M102043,Gaming,0.295,Card Present
M102044,Utilities,0.111,Card Not Present
M102045,Gaming,0.249,Card Not Present
M102046,Marketplace,0.12,Wire
M102047,Electronics,0.02,Card Present
M102048,Travel,0.309,Online Banking
M102049,Digital Wallet,0.478,Card Not Present
M102050,Travel,0.07,Card Present
M102051,Grocery,0.567,Online Banking
M102052,Electronics,0.475,Card Not Present
M102053,Electronics,0.121,P2P
M102054,Gaming,0.232,P2P
M102055,Luxury,0.206,Card Present
M102056,Electronics,0.443,Card Not Present
M102057,Luxury,0.077,Online Banking
M102058,Electronics,0.286,Card Not Present
M102059,Electronics,0.075,Card Present
M102060,Electronics,0.528,Card Not Present
M102061,Marketplace,0.247,Card Not Present
M102062,Travel,0.37,Card Present
M102063,Fuel,0.121,Wire
M102064,Utilities,0.234,Online Banking
M102065,Luxury,0.054,Card Present
M102066,Electronics,0.259,Card Present
M102067,Travel,0.458,Wire
M102068,Utilities,0.269,Wire
M102069,Grocery,0.193,P2P
M102070,Luxury,0.073,Card Not Present
M102071,Luxury,0.097,Card Present
M102072,Luxury,0.068,Wire
M102073,Utilities,0.121,P2P
M102074,Electronics,0.117,P2P
M102075,Digital Wallet,0.068,Wire
M102076,Luxury,0.632,P2P
M102077,Marketplace,0.063,Online Banking
M102078,Grocery,0.45,Card Present
M102079,Telecom,0.162,Card Present
M102080,Luxury,0.067,Online Banking
M102081,Utilities,0.08,P2P
M102082,Gaming,0.134,Card Not Present
M102083,Utilities,0.147,Card Not Present
M102084,Luxury,0.201,P2P
M102085,Marketplace,0.213,Card Present
M102086,Grocery,0.168,Card Not Present
M102087,Fuel,0.354,Card Present
M102088,Gaming,0.033,Wire
M102089,Electronics,0.053,Card Present
M102090,Telecom,0.198,P2P
M102091,Telecom,0.319,Online Banking
M102092,Gaming,0.686,Card Not Present
M102093,Utilities,0.376,Online Banking
M102094,Travel,0.181,Card Present
M102095,Fuel,0.427,Card Present
M102096,Telecom,0.378,Card Not Present
M102097,Electronics,0.292,Card Present
M102098,Utilities,0.114,Card Present
M102099,Gaming,0.513,Online Banking
M102100,Digital Wallet,0.313,Card Not Present
M102101,Utilities,0.08,Online Banking
M102102,Fuel,0.213,Online Banking
M102103,Fuel,0.225,Wire
M102104,Utilities,0.08,Card Present
M102105,Grocery,0.366,Card Present
M102106,Utilities,0.244,Card Present
M102107,Telecom,0.332,Wire
M102108,Electronics,0.291,Wire
M102109,Electronics,0.299,Card Present
M102110,Fuel,0.165,Card Present
M102111,Utilities,0.397,Card Not Present
M102112,Luxury,0.241,P2P
M102113,Travel,0.625,Card Present
M102114,Grocery,0.329,P2P
M102115,Grocery,0.071,P2P
M102116,Grocery,0.176,Wire
M102117,Digital Wallet,0.508,Card Not Present
M102118,Grocery,0.191,Wire
M102119,Telecom,0.138,Wire
M102120,Luxury,0.078,Wire
M102121,Marketplace,0.078,Wire
M102122,Gaming,0.159,P2P
M102123,Fuel,0.474,Card Not Present
M102124,Grocery,0.286,Online Banking
M102125,Utilities,0.355,Wire
M102126,Grocery,0.183,Wire
M102127,Utilities,0.221,Card Not Present
M102128,Gaming,0.451,Wire
M102129,Grocery,0.266,Wire
M102130,Gaming,0.046,Online Banking
M102131,Luxury,0.521,Wire
M102132,Digital Wallet,0.66,Card Not Present
M102133,Luxury,0.143,Card Not Present
M102134,Grocery,0.313,Online Banking
M102135,Grocery,0.094,P2P
M102136,Marketplace,0.502,Wire
M102137,Utilities,0.721,Online Banking
M102138,Gaming,0.1,Wire
M102139,Digital Wallet,0.25,Card Present
M102140,Electronics,0.337,Wire
M102141,Grocery,0.088,Online Banking
M102142,Fuel,0.077,Card Not Present
M102143,Grocery,0.091,Online Banking
M102144,Fuel,0.461,P2P
M102145,Grocery,0.16,Card Present
M102146,Electronics,0.251,Online Banking
M102147,Fuel,0.113,P2P
M102148,Electronics,0.269,Card Present
M102149,Grocery,0.415,Online Banking
M102150,Fuel,0.309,Wire
M102151,Digital Wallet,0.072,Card Not Present
M102152,Utilities,0.483,Card Not Present
M102153,Gaming,0.191,Online Banking
M102154,Utilities,0.053,Card Not Present
M102155,Telecom,0.131,P2P
M102156,Gaming,0.282,P2P
M102157,Luxury,0.135,Card Not Present
M102158,Telecom,0.561,Online Banking
M102159,Luxury,0.673,P2P
M102160,Travel,0.058,Card Present
M102161,Electronics,0.229,Wire
M102162,Fuel,0.341,Online Banking
M102163,Electronics,0.39,Card Present
M102164,Gaming,0.413,P2P
M102165,Luxury,0.609,Card Not Present
M102166,Utilities,0.155,Card Present
M102167,Digital Wallet,0.363,P2P
M102168,Electronics,0.264,Card Present
M102169,Fuel,0.06,Card Not Present
M102170,Electronics,0.469,Wire
M102171,Marketplace,0.145,Card Present
M102172,Luxury,0.604,Card Not Present
M102173,Electronics,0.052,P2P
M102174,Digital Wallet,0.291,Card Not Present
M102175,Telecom,0.24,Wire
M102176,Grocery,0.163,Wire
M102177,Digital Wallet,0.612,Card Not Present
M102178,Gaming,0.171,Wire
M102179,Grocery,0.353,Card Present
M102180,Luxury,0.292,Wire
M102181,Marketplace,0.247,Card Present
M102182,Marketplace,0.316,Online Banking
M102183,Luxury,0.359,Wire
M102184,Luxury,0.136,Card Present
M102185,Digital Wallet,0.308,Online Banking
M102186,Travel,0.213,Online Banking
M102187,Marketplace,0.187,Online Banking
M102188,Gaming,0.323,P2P
M102189,Telecom,0.072,Wire
M102190,Travel,0.618,Card Present
M102191,Telecom,0.281,P2P
M102192,Telecom,0.39,P2P
M102193,Electronics,0.377,Card Present
M102194,Travel,0.158,Card Not Present
M102195,Electronics,0.177,Card Present
M102196,Gaming,0.174,Online Banking
M102197,Gaming,0.19,Online Banking
M102198,Travel,0.425,P2P
M102199,Gaming,0.097,Online Banking
M102200,Utilities,0.554,Card Not Present
M102201,Digital Wallet,0.162,P2P
M102202,Travel,0.449,Card Not Present
M102203,Electronics,0.315,Online Banking
M102204,Telecom,0.079,Online Banking
M102205,Fuel,0.442,P2P
M102206,Marketplace,0.365,Card Not Present
M102207,Electronics,0.148,Card Present
M102208,Digital Wallet,0.519,Wire
M102209,Telecom,0.319,Wire
M102210,Gaming,0.092,Card Present
M102211,Fuel,0.203,Wire
M102212,Telecom,0.071,Online Banking
M102213,Travel,0.578,Card Not Present
M102214,Gaming,0.302,P2P
M102215,Luxury,0.109,P2P
M102216,Telecom,0.021,Card Present
M102217,Electronics,0.209,Wire
M102218,Luxury,0.637,Online Banking
M102219,Fuel,0.218,Card Not Present
M102220,Gaming,0.101,P2P
M102221,Luxury,0.191,P2P
M102222,Electronics,0.136,Online Banking
M102223,Digital Wallet,0.117,Wire
M102224,Fuel,0.19,Online Banking
M102225,Luxury,0.304,P2P
M102226,Grocery,0.137,Card Present
M102227,Gaming,0.388,Card Present
M102228,Gaming,0.083,P2P
M102229,Grocery,0.058,Card Present
M102230,Gaming,0.069,Online Banking
M102231,Digital Wallet,0.228,Card Present
M102232,Fuel,0.398,Card Present
M102233,Electronics,0.012,Wire
M102234,Gaming,0.487,Card Present
M102235,Fuel,0.188,Card Present
M102236,Travel,0.427,Card Not Present
M102237,Telecom,0.475,P2P
M102238,Telecom,0.561,P2P
M102239,Telecom,0.374,P2P
M102240,Luxury,0.261,Wire
M102241,Fuel,0.479,Online Banking
M102242,Fuel,0.23,P2P
M102243,Grocery,0.44,Online Banking
M102244,Gaming,0.074,Card Not Present
M102245,Grocery,0.364,Wire
M102246,Fuel,0.122,Online Banking
M102247,Fuel,0.075,Card Present
M102248,Grocery,0.271,Card Present
M102249,Utilities,0.07,Card Not Present
M102250,Grocery,0.299,P2P
M102251,Electronics,0.148,P2P
M102252,Telecom,0.176,P2P
M102253,Gaming,0.377,Card Present
M102254,Digital Wallet,0.163,Wire
M102255,Marketplace,0.583,P2P
M102256,Marketplace,0.263,Card Not Present
M102257,Utilities,0.175,Wire
M102258,Gaming,0.024,P2P
M102259,Utilities,0.216,Card Present
M102260,Digital Wallet,0.135,Online Banking
M102261,Grocery,0.183,P2P
M102262,Luxury,0.155,Online Banking
M102263,Gaming,0.295,Card Present
M102264,Utilities,0.111,Card Not Present
M102265,Gaming,0.249,Card Not Present
M102266,Marketplace,0.12,Wire
M102267,Electronics,0.02,Card Present
M102268,Travel,0.309,Online Banking
M102269,Digital Wallet,0.478,Card Not Present
M102270,Travel,0.07,Card Present
M102271,Grocery,0.567,Online Banking
M102272,Electronics,0.475,Card Not Present
M102273,Electronics,0.121,P2P
M102274,Gaming,0.232,P2P
M102275,Luxury,0.206,Card Present
